^RUI,ADM,Y,ADSK,MMM,AR,LNG,ALNY,BEAV,BLK,ALTR,0.0327579077618
^RUI,AAN,AVGO,A,CBG,AAPL,T,APD,BDN,ABBV,ALL,0.0315208248586
^RUI,AET,BBT,CPN,BRX,HRB,AMH,ADS,ALK,AMCX,CSL,0.0101488958503
^RUI,A,CRL,ADP,AGN,AMAT,BMRN,CBL,AAP,BDN,AME,0.0331422024268
^RUI,CA,BF.B,BXP,AIV,AMG,AAP,ALL,BKD,AZO,ABBV,0.0538201244892
^RUI,AES,LNT,ALL,AVGO,AMZN,CTRX,APA,CVC,ALR,BA,0.0208332888732
^RUI,CA,BMS,ALGN,AKRX,ATO,CVX,MMM,BKFS,HRB,EAT,0.0205736076437
^RUI,AAN,CSL,ALB,AFSI,AON,ATHN,CRI,DOX,ALXN,ALK,0.0103980456219
^RUI,ACM,AGO,NLY,BRX,ACC,CPB,AA,ATML,MMM,CBI,0.0151361496528
^RUI,BWA,BRCM,BSX,AMT,AXTA,AIZ,ARMK,Y,AYI,ARG,0.031626713417
^RUI,ARG,BBY,BMRN,AGCO,AAN,AFSI,BRO,ALGN,AAL,CNP,0.0278389469667
^RUI,BRKR,AVGO,AVB,ADP,BOKF,AXTA,DOX,ALLE,AXS,ACGL,0.0237007706947
^RUI,AON,AFL,CIM,ARMK,ATI,ALXN,ACM,CHK,AGN,BG,0.0342409048679
^RUI,APD,AGCO,ACGL,AHL,CERN,CCL,ARG,CIM,ADS,FOX,0.0160473380699
^RUI,AMCX,ALNY,AFG,ALB,AEP,ADBE,CCL,ACN,COF,CSL,0.0185519611845
^RUI,AWK,AAN,ATML,CAB,CHTR,CAR,BRCM,ATHN,BWA,CBL,0.0175168519809
^RUI,AVGO,AFSI,LNT,BAX,AEP,AZO,AWK,BAC,AAP,BIIB,0.032540979322
^RUI,CTL,BHI,BRCD,ATVI,AWK,BBY,ATI,ADP,CRL,CPB,0.0270864779715
^RUI,ARG,T,ATR,CELG,CAB,BKFS,AMP,BKD,ACC,BMS,0.0261443992809
^RUI,BKD,BIIB,BLL,ARMK,ANSS,AZO,AME,BR,ADS,APD,0.0167040931379
